YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,JULIAN_DATE,POSN_X,POSN_Y,POSN_Z,VEL_X,VEL_Y,VEL_Z
2000,6,27,18,50,19.67998,2451723.28495,7022.36379,-1400.42628,-0.20302,1.89425,6.40581,4.53481
2000,6,27,18,51,19.29599,2451723.28564,7121.73840,-1016.06813,269.91226,1.43959,6.48354,4.52615
2000,6,27,18,52,18.91200,2451723.28633,7194.05902,-627.84592,539.00547,0.98711,6.53556,4.50057
2000,6,27,18,53,18.52801,2451723.28702,7239.52988,-237.27622,806.08890,0.53927,6.56246,4.45879
2000,6,27,18,54,18.14399,2451723.28771,7258.49678,154.16612,1070.22164,0.09835,6.56506,4.40165
2000,6,27,18,55,17.76000,2451723.28840,7251.43504,545.06022,1330.51612,-0.33359,6.54431,4.33009
2000,6,27,18,56,17.37601,2451723.28909,7218.93639,934.04676,1586.14152,-0.75471,6.50134,4.24509
